Job Title,Company,Location,Description,Key Responsibilities,Skills Required,Preferred Experience,Keywords
Customer Experience Manager,Medix Infusion,Remote,Develop strategic roadmaps for customer experience improvement. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Enhance operational efficiencies using data analytics., Lead and oversee customer success initiatives.","Predictive Analytics, Data Visualization, Process Improvement, CX Strategy, Customer Success","11+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, Customer Success, Team Leadership"
Customer Experience Operations Manager,CommandLink,"San Francisco, CA",Mentor and train teams in customer success best practices. This role requires expertise in Predictive Analytics and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Drive customer satisfaction and retention efforts., Mentor and train teams in customer success best practices.","Data Visualization, Operational Efficiency, Customer Success, Predictive Analytics, CX Strategy","14+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Team Leadership, CRM Platforms (Salesforce, Zendesk), Customer Success"
"VP, Customer Success",Amazon Web Services,Remote,Enhance operational efficiencies using data analytics. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Oversee call center operations and optimize support channels., Implement automation tools for workflow optimization., Enhance operational efficiencies using data analytics.","Customer Success, KPI Management, CX Strategy, Data Visualization, Process Improvement","12+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Predictive Analytics, Team Leadership, Customer Success"
Director of CX Operations,CSC Serviceworks,"Austin, TX","Develop strategic roadmaps for customer experience improvement. This role requires expertise in CRM Platforms (Salesforce, Zendesk) and experience leading high-performing teams in a fast-paced environment.","Develop and implement AI-driven customer engagement strategies., Collaborate with cross-functional teams to improve customer experience., Drive customer satisfaction and retention efforts.","Predictive Analytics, CX Strategy, Data Visualization, AI & Machine Learning, Customer Success","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Operational Efficiency, CRM Platforms (Salesforce, Zendesk), KPI Management"
"VP, Customer Success",Qlik,Remote,Oversee call center operations and optimize support channels. This role requires expertise in Customer Success and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Oversee call center operations and optimize support channels., Implement automation tools for workflow optimization.","Team Leadership, Operational Efficiency, Customer Success, CRM Platforms (Salesforce, Zendesk), CX Strategy","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Data Visualization, AI & Machine Learning"
Chief Operating Officer,HappyCo,"Seattle, WA",Drive customer satisfaction and retention efforts. This role requires expertise in Team Leadership and experience leading high-performing teams in a fast-paced environment.,"Mentor and train teams in customer success best practices., Oversee call center operations and optimize support channels., Utilize machine learning and predictive analytics to enhance customer insights.","Predictive Analytics, Process Improvement, Customer Success, CX Strategy, CRM Platforms (Salesforce, Zendesk)","9+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","KPI Management, Predictive Analytics, Process Improvement"
"VP, Customer Success",MongoDB,"San Francisco, CA",Collaborate with cross-functional teams to improve customer experience. This role requires expertise in Operational Efficiency and experience leading high-performing teams in a fast-paced environment.,"Lead and oversee customer success initiatives., Mentor and train teams in customer success best practices., Implement automation tools for workflow optimization.","Team Leadership, AI & Machine Learning, Predictive Analytics, CX Strategy, Operational Efficiency","10+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Process Improvement, CRM Platforms (Salesforce, Zendesk), AI & Machine Learning"
Infusion Customer Service Manager,MongoDB,"Seattle, WA",Develop and implement AI-driven customer engagement strategies. This role requires expertise in KPI Management and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Mentor and train teams in customer success best practices., Enhance operational efficiencies using data analytics.","Predictive Analytics, Data Visualization, CRM Platforms (Salesforce, Zendesk), Customer Success, CX Strategy","15+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","AI & Machine Learning, CX Strategy, Data Visualization"
Senior AI Solutions Partner,Medix Infusion,"New York, NY",Enhance operational efficiencies using data analytics. This role requires expertise in CX Strategy and experience leading high-performing teams in a fast-paced environment.,"Collaborate with cross-functional teams to improve customer experience., Develop and implement AI-driven customer engagement strategies., Utilize machine learning and predictive analytics to enhance customer insights.","CRM Platforms (Salesforce, Zendesk), Predictive Analytics, Operational Efficiency, Customer Success, CX Strategy","13+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, KPI Management, Data Visualization"
Director of Customer Support,HappyCo,"Dallas, TX",Drive customer satisfaction and retention efforts. This role requires expertise in Data Visualization and experience leading high-performing teams in a fast-paced environment.,"Drive customer satisfaction and retention efforts., Implement automation tools for workflow optimization., Lead and oversee customer success initiatives.","Data Visualization, CX Strategy, Customer Success, Process Improvement, CRM Platforms (Salesforce, Zendesk)","7+ years in leadership roles related to Customer Success, CX Strategy, or AI-driven operational management.","Customer Success, KPI Management, Process Improvement"
