Job Title,Industry,Responsibilities,Qualifications,Location,Job Type,Salary Range
Vice President of Customer Success,Finance,"Streamline customer service operations, reducing costs while improving CSAT.; Drive innovation in customer success strategies using AI and ML technologies.; Lead customer experience initiatives to improve engagement and retention.","10+ years of experience in customer experience, AI, or operations leadership.; Track record of reducing operational costs while improving CX efficiency.; Strong leadership skills with experience managing 50+ team members.","Seattle, WA",Full-Time,$129k - $227k
AI Implementation Consultant,SaaS,"Collaborate cross-functionally with sales, marketing, and product teams.; Implement predictive analytics to enhance customer insights.; Manage and mentor large customer support teams across multiple locations.","10+ years of experience in customer experience, AI, or operations leadership.; Understanding of machine learning models applied to customer success.; Proven expertise in AI-driven automation and predictive analytics.","Boston, MA",Full-Time,$110k - $179k
Director of Customer Experience,Hospitality,"Develop AI-driven automation strategies to optimize service workflows.; Collaborate cross-functionally with sales, marketing, and product teams.; Integrate AI-based chatbots and automation solutions for enhanced support.","Ability to drive customer satisfaction metrics and VoC programs.; Proven expertise in AI-driven automation and predictive analytics.; 10+ years of experience in customer experience, AI, or operations leadership.","Seattle, WA",Remote,$117k - $237k
Customer Experience Data Scientist,Tech,"Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.","Understanding of machine learning models applied to customer success.; Experience in implementing workflow automation for large-scale operations.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Austin, TX",Part-Time,$102k - $226k
Vice President of Customer Success,Consulting,"Collaborate cross-functionally with sales, marketing, and product teams.; Drive innovation in customer success strategies using AI and ML technologies.; Lead customer experience initiatives to improve engagement and retention.","Understanding of machine learning models applied to customer success.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Track record of reducing operational costs while improving CX efficiency.","Boston, MA",Contract,$98k - $232k
Director of Customer Experience,Telecommunications,"Collaborate cross-functionally with sales, marketing, and product teams.; Lead customer experience initiatives to improve engagement and retention.; Implement predictive analytics to enhance customer insights.",Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.; Proven expertise in AI-driven automation and predictive analytics.,"Seattle, WA",Full-Time,$137k - $244k
AI Implementation Consultant,Finance,Manage and mentor large customer support teams across multiple locations.; Lead customer experience initiatives to improve engagement and retention.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; 10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.","Seattle, WA",Remote,$107k - $235k
Senior CX Manager,Education,"Streamline customer service operations, reducing costs while improving CSAT.; Manage and mentor large customer support teams across multiple locations.; Develop strategies to optimize customer journey and retention metrics.","Data-driven decision-making mindset with expertise in Power BI or Tableau.; 10+ years of experience in customer experience, AI, or operations leadership.; Strong leadership skills with experience managing 50+ team members.","Austin, TX",Contract,$135k - $171k
Senior CX Manager,Healthcare,Integrate AI-based chatbots and automation solutions for enhanced support.; Drive innovation in customer success strategies using AI and ML technologies.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Strong leadership skills with experience managing 50+ team members.; 10+ years of experience in customer experience, AI, or operations leadership.; Track record of reducing operational costs while improving CX efficiency.","Boston, MA",Remote,$105k - $218k
AI Strategist,E-commerce,"Develop AI-driven automation strategies to optimize service workflows.; Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.",Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.; Proven expertise in AI-driven automation and predictive analytics.,"New York, NY",Contract,$81k - $158k
Customer Support Transformation Lead,Telecommunications,"Streamline customer service operations, reducing costs while improving CSAT.; Implement predictive analytics to enhance customer insights.; Collaborate cross-functionally with sales, marketing, and product teams.",Experience in implementing workflow automation for large-scale operations.; Excellent stakeholder management skills across cross-functional teams.; Track record of reducing operational costs while improving CX efficiency.,"Austin, TX",Remote,$137k - $250k
Customer Support Transformation Lead,Telecommunications,Integrate AI-based chatbots and automation solutions for enhanced support.; Lead customer experience initiatives to improve engagement and retention.; Develop AI-driven automation strategies to optimize service workflows.,Track record of reducing operational costs while improving CX efficiency.; Understanding of machine learning models applied to customer success.; Excellent stakeholder management skills across cross-functional teams.,"New York, NY",Full-Time,$146k - $161k
Vice President of Customer Success,Telecommunications,"Integrate AI-based chatbots and automation solutions for enhanced support.; Develop AI-driven automation strategies to optimize service workflows.; Collaborate cross-functionally with sales, marketing, and product teams.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Excellent stakeholder management skills across cross-functional teams.; Experience in implementing workflow automation for large-scale operations.","Denver, CO",Part-Time,$134k - $201k
Head of Member Services,E-commerce,Manage and mentor large customer support teams across multiple locations.; Integrate AI-based chatbots and automation solutions for enhanced support.; Implement predictive analytics to enhance customer insights.,"Experience in implementing workflow automation for large-scale operations.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Proven expertise in AI-driven automation and predictive analytics.","Seattle, WA",Part-Time,$83k - $247k
Head of Member Services,Hospitality,Develop AI-driven automation strategies to optimize service workflows.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop strategies to optimize customer journey and retention metrics.,"Data-driven decision-making mindset with expertise in Power BI or Tableau.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Understanding of machine learning models applied to customer success.","Los Angeles, CA",Full-Time,$124k - $216k
Customer Experience Data Scientist,SaaS,"Integrate AI-based chatbots and automation solutions for enhanced support.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Streamline customer service operations, reducing costs while improving CSAT.",Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.; Experience in implementing workflow automation for large-scale operations.,Remote,Contract,$150k - $221k
Customer Experience Data Scientist,Healthcare,Integrate AI-based chatbots and automation solutions for enhanced support.; Develop strategies to optimize customer journey and retention metrics.; Manage and mentor large customer support teams across multiple locations.,Ability to drive customer satisfaction metrics and VoC programs.; Excellent stakeholder management skills across cross-functional teams.; Experience in implementing workflow automation for large-scale operations.,Remote,Full-Time,$117k - $227k
Customer Insights Analyst,E-commerce,Integrate AI-based chatbots and automation solutions for enhanced support.; Manage and mentor large customer support teams across multiple locations.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; 10+ years of experience in customer experience, AI, or operations leadership.; Excellent stakeholder management skills across cross-functional teams.",Remote,Contract,$101k - $206k
Customer Insights Analyst,Consulting,"Drive innovation in customer success strategies using AI and ML technologies.; Streamline customer service operations, reducing costs while improving CSAT.; Develop AI-driven automation strategies to optimize service workflows.","Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Experience in implementing workflow automation for large-scale operations.; Understanding of machine learning models applied to customer success.","New York, NY",Contract,$120k - $215k
Customer Insights Analyst,Hospitality,"Collaborate cross-functionally with sales, marketing, and product teams.; Drive innovation in customer success strategies using AI and ML technologies.; Integrate AI-based chatbots and automation solutions for enhanced support.","10+ years of experience in customer experience, AI, or operations leadership.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.; Data-driven decision-making mindset with expertise in Power BI or Tableau.","Boston, MA",Contract,$80k - $211k
Customer Experience Data Scientist,Retail,Manage and mentor large customer support teams across multiple locations.; Drive innovation in customer success strategies using AI and ML technologies.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.,"Ability to drive customer satisfaction metrics and VoC programs.; Track record of reducing operational costs while improving CX efficiency.; Deep knowledge of SaaS platforms such as Zendesk, Salesforce, Totango.","Seattle, WA",Full-Time,$92k - $217k
Customer Service Operations Manager,Finance,"Streamline customer service operations, reducing costs while improving CSAT.; Drive innovation in customer success strategies using AI and ML technologies.; Manage and mentor large customer support teams across multiple locations.","Ability to drive customer satisfaction metrics and VoC programs.; 10+ years of experience in customer experience, AI, or operations leadership.; Understanding of machine learning models applied to customer success.","Boston, MA",Part-Time,$147k - $170k
Vice President of Customer Success,Retail,"Develop strategies to optimize customer journey and retention metrics.; Streamline customer service operations, reducing costs while improving CSAT.; Collaborate cross-functionally with sales, marketing, and product teams.",Data-driven decision-making mindset with expertise in Power BI or Tableau.; Experience in implementing workflow automation for large-scale operations.; Understanding of machine learning models applied to customer success.,"Denver, CO",Part-Time,$136k - $175k
Senior CX Manager,Education,"Manage and mentor large customer support teams across multiple locations.; Collaborate cross-functionally with sales, marketing, and product teams.; Drive innovation in customer success strategies using AI and ML technologies.",Experience in implementing workflow automation for large-scale operations.; Track record of reducing operational costs while improving CX efficiency.; Data-driven decision-making mindset with expertise in Power BI or Tableau.,"Los Angeles, CA",Full-Time,$116k - $167k
Customer Experience Data Scientist,Healthcare,"Collaborate cross-functionally with sales, marketing, and product teams.; Oversee VoC (Voice of the Customer) programs and customer satisfaction metrics.; Develop strategies to optimize customer journey and retention metrics.","10+ years of experience in customer experience, AI, or operations leadership.; Ability to drive customer satisfaction metrics and VoC programs.; Understanding of machine learning models applied to customer success.","Seattle, WA",Full-Time,$112k - $151k
